year,brand,model,horsepower,consumption,places,doors,length,width,height,speed,acceleration,price_eur
1986,seat,malaga,46.5,7.099999904632568,5.0,4.0,427.0,165.0,140.0,150.0,17.0,5785.9072265625
1986,opel,vectra,55.0,7.5,5.0,4.0,436.5,167.0,139.5,160.0,15.5,8202.947265625
1986,audi,100/200,66.0,7.233333110809326,5.0,4.0,479.0,181.5,142.0,176.0,12.0,13019.5400390625
1986,alfa romeo,GTV,95.5,9.5,4.0,3.0,426.0,166.5,133.0,190.0,10.0,12601.1875
1986,opel,ascona,55.0,7.5,5.0,4.0,436.5,167.0,139.5,160.0,15.5,7927.71142578125
1986,nissan,cherry,55.0,6.4666666984558105,5.0,3.0,396.0,162.0,139.0,165.0,,7735.97607421875
1986,nissan,laurel,94.0,10.5,5.0,4.0,465.0,169.0,141.5,190.0,,12990.810546875
1986,nissan,sunny,44.0,8.0,5.0,5.0,399.5,164.0,141.5,160.0,,6901.3681640625
1986,VW,passat,55.0,8.366666793823242,5.0,4.0,442.5,170.5,138.5,160.0,13.600000381469727,8958.6630859375
1986,yugo,,33.0,7.4666666984558105,4.0,3.0,349.0,154.0,139.0,135.0,21.700000762939453,3086.615478515625
1986,mazda,929,74.5,9.433333396911621,5.5,4.0,466.5,169.0,136.0,183.0,10.0,10384.4013671875
1986,opel,corsa,33.0,6.233333110809326,5.0,3.0,362.0,153.0,136.5,143.0,19.5,5229.33642578125
1986,fiat,uno,33.0,5.5333333015441895,5.0,3.0,364.5,155.0,142.5,145.0,16.200000762939453,4464.06201171875
1986,peugeot,309,40.5,6.5333333015441895,5.0,3.0,405.0,163.0,138.0,153.0,16.5,7032.70556640625
1986,VW,jetta,40.0,7.0333333015441895,5.0,4.0,431.5,166.5,141.5,149.0,17.200000762939453,7460.97216796875
1986,opel,kadet,40.0,6.733333110809326,5.0,3.0,400.0,166.5,140.0,155.0,17.0,6634.05712890625
1986,ford,fiesta,33.0,6.433333396911621,5.0,3.0,365.0,158.5,133.5,137.0,19.799999237060547,5270.13623046875
1986,nissan,cedric,62.0,11.0,5.0,4.0,469.0,169.0,142.5,120.0,,14483.90625
1986,seat,ibiza,46.5,7.433333396911621,5.0,3.0,364.0,161.0,139.5,155.0,16.0,5115.1318359375
1986,peugeot,505,62.0,8.633333206176758,5.699999809265137,5.0,490.0,173.0,154.0,157.0,14.5,8586.3681640625
1986,opel,corsa,33.0,6.233333110809326,5.0,3.0,362.0,153.0,136.5,143.0,19.5,5136.84130859375
1986,fiat,panda,25.0,5.599999904632568,5.0,3.0,341.0,149.5,142.0,125.0,23.0,4277.421875
1986,renault,21,56.0,7.0333333015441895,5.0,4.0,446.0,170.5,141.5,176.0,12.0,7400.87109375
1986,mazda,626,59.5,7.733333110809326,5.0,4.0,443.0,169.0,139.5,172.0,12.5,7040.8408203125
1986,fiat,uno,33.0,5.5333333015441895,5.0,3.0,364.5,155.0,142.5,145.0,16.200000762939453,5485.53076171875
1986,citroen,CX,84.5,9.033332824707031,5.0,4.0,465.0,177.0,136.0,186.0,10.600000381469727,11340.0439453125
1986,fiat,regatta,48.0,7.133333206176758,5.0,4.0,426.0,165.0,141.0,155.0,13.5,7622.5107421875
1986,fiat,croma,61.0,7.400000095367432,5.0,5.0,449.5,176.0,143.5,170.0,14.0,11081.2568359375
1986,peugeot,505,66.0,8.633333206176758,5.699999809265137,5.0,490.0,173.0,154.0,157.0,14.5,9991.8896484375
1986,renault,5,44.0,5.833333492279053,5.0,3.0,359.0,158.5,139.0,158.0,14.0,5805.30712890625
1986,citroen,BX,46.0,6.933333396911621,5.0,5.0,423.0,166.0,136.0,155.0,15.600000381469727,6493.66748046875
1986,nissan,sunny,55.0,8.5,5.0,5.0,399.5,164.0,141.5,160.0,,7735.97607421875
1986,alfa romeo,75,81.0,9.366666793823242,5.0,4.0,433.0,163.0,140.0,180.0,10.699999809265137,10586.2021484375
1986,renault,4,25.0,5.833333492279053,4.0,5.0,367.0,148.5,155.0,120.0,,4814.544921875
1986,BMW,5,77.0,8.433333396911621,5.0,4.0,462.0,170.0,141.5,175.0,12.600000381469727,11860.3603515625
1986,opel,senator,103.0,10.166666984558105,5.0,4.0,484.0,172.0,141.5,198.0,11.0,15396.6083984375
1986,rover,maestro,61.0,7.566666603088379,5.0,5.0,400.0,169.0,142.0,167.0,11.5,6933.6533203125
1986,suzuki,swift,54.0,5.800000190734863,5.0,3.0,367.0,153.0,135.0,163.0,11.699999809265137,6370.49365234375
1986,volvo,740-760,84.0,9.100000381469727,5.0,4.0,478.5,175.0,141.0,178.0,12.5,12856.876953125
1986,nissan,bluebird,61.0,8.5,5.0,4.0,436.0,169.0,139.5,165.0,,9244.0458984375
1986,fiat,ritmo,43.0,7.0,5.0,5.0,399.5,165.0,142.0,150.0,15.899999618530273,6285.16748046875
1986,alfa romeo,33,58.0,7.766666889190674,5.0,5.0,401.5,161.0,134.5,167.0,11.5,7911.79345703125
1986,ford,fiesta,33.0,6.433333396911621,5.0,3.0,365.0,158.5,133.5,137.0,19.799999237060547,5189.5615234375
1986,opel,omega,65.0,7.400000095367432,5.0,4.0,468.5,177.0,144.5,183.0,14.0,11554.3271484375
1986,fiat,127,37.0,7.800000190734863,5.0,3.0,374.5,154.5,140.5,135.0,17.5,4747.0498046875
1986,opel,record,73.5,8.733333587646484,5.0,4.0,465.0,172.5,142.0,181.0,12.5,10928.3681640625
1986,suzuki,alto,29.5,6.366666793823242,4.0,3.0,330.0,140.5,141.0,130.0,20.5,4870.3046875
1986,fiat,panda,25.0,5.599999904632568,5.0,3.0,341.0,149.5,142.0,125.0,23.0,3670.361083984375
1986,BMW,3,66.0,8.199999809265137,5.0,2.0,432.5,164.5,138.0,175.0,12.199999809265137,9986.685546875
1986,peugeot,305,54.5,7.300000190734863,5.0,4.0,426.0,163.0,141.0,155.0,13.199999809265137,6988.544921875
1986,ford,scorpio,66.0,7.933333396911621,5.0,4.0,467.0,176.0,144.0,179.0,13.100000381469727,10128.4501953125
1986,opel,kadet,40.0,6.733333110809326,5.0,3.0,400.0,166.5,140.0,155.0,17.0,7087.68896484375
1986,opel,omega,60.0,7.400000095367432,5.0,4.0,468.5,177.0,144.5,183.0,14.0,10277.6611328125
1986,honda,accord,78.0,8.100000381469727,5.0,4.0,454.0,170.0,136.0,189.0,,10367.666015625
1986,lancia,prisma,57.5,7.599999904632568,5.0,4.0,418.0,162.0,138.5,160.0,14.300000190734863,9223.515625
